Year for CO2,CO2 (ppmv),CO2 Source,Temperature_Year,Temperature_anomaly,N2O Year,N2O (ppb),date,Average (C),Season,Weather_station_source,year,Statistic Label,Median montly series,Moving Average,Meteorological Weather Station
-690388.0,235.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-690107.0,235.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-689722.0,236.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-689482.0,235.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-689049.0,234.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-688821.0,240.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-688344.0,234.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-688107.0,235.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-687653.0,239.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-687354.0,235.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-686931.0,234.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-686702.0,235.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-686245.0,233.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-685999.0,232.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-685520.0,228.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-685277.0,228.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-684776.0,227.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-684475.0,224.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-684030.0,224.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-683766.0,223.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-683267.0,219.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-682999.0,219.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-682469.0,219.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-682192.0,217.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-681662.0,217.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-681312.0,218.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-680812.0,221.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-680496.0,222.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-679899.0,219.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-679581.0,217.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-678970.0,216.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-678658.0,218.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-678131.0,225.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-677782.0,223.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-677302.0,230.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-676964.0,230.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-676341.0,230.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-676034.0,226.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-675430.0,217.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-675118.0,215.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-674574.0,214.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-674220.0,217.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-673639.0,220.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-672571.0,213.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-672223.0,209.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-671525.0,202.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-671145.0,198.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-670436.0,194.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-669976.0,192.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-669336.0,194.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-668966.0,192.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-668226.0,189.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-667801.0,185.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-666984.0,178.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-666497.0,175.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-665619.0,171.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-665045.0,172.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-664224.0,178.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-663695.0,178.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-662740.0,185.8,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-662242.0,189.1,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-661256.0,189.0,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-660719.0,187.8,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-659700.0,189.8,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-659031.0,186.6,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-658134.0,183.9,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-657574.0,182.4,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-656524.0,189.2,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-655973.0,191.3,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-654932.0,198.7,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-654336.0,198.4,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-653252.0,193.2,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-652523.0,191.3,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-651498.0,185.3,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-650852.0,185.8,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-649606.0,192.0,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-648941.0,187.8,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-647648.0,194.8,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-646996.0,192.1,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-645638.0,190.5,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-644773.0,188.6,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-643520.0,194.6,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-642712.0,194.1,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-641254.0,190.4,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-640455.0,190.2,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-638810.0,189.1,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-637898.0,187.7,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-636177.0,194.3,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-635007.0,193.0,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-633539.0,193.9,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-632642.0,192.1,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-630906.0,195.6,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-630051.0,199.5,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-628345.0,199.9,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-627496.0,198.7,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-626049.0,205.0,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-625261.0,214.9,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-624265.0,227.8,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-623620.0,234.3,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
